Brand;Family;Name;Reference;Movement_Caliber;Movement_Functions;Limited;Case Material;Glass;Back;Shape;Diameter;Height;W/R;Dial Color;Indexes;Hands;Description
Breitling;Navitimer;Navitimer GMT 41 Automatic Red Gold / Black / Japan;R323101A1B1P1;Breitling caliber Caliber 32;Hours, Minutes, Seconds, Additional 24 Hour Hand (adjustable) | Date;Yes, 50 units;Red Gold;Sapphire;Closed;Round;41.00 mm;11.60 mm;30.00 m;Black;Stick / Dot;Syringe;The Breitling Navitimer Automatic GMT 41 R323101A1B1P1 debuted in 2025 as a Japan-only limited edition of 50 pieces. The watch is housed in a 41 mm case of traceable 18k red gold, with a thickness of 11.65 mm and a weight of 92.8 grams including strap. Both front and back are fitted with cambered sapphire crystals with double anti-reflective coating, and water resistance is rated at 30 meters. The caseback bears the engraving �ONE OF 50�.  The black dial features a tone-on-tone 24-hour scale at the center, combined with applied indexes and red-tipped GMT hand. The simplified display without chronograph registers emphasizes the clarity of the slide-rule bezel, itself executed in the latest notched Navitimer style.  Inside ticks the Breitling caliber 32, a self-winding mechanical movement with second time zone indication on 24 hours. Beating at 28,800 vph (4 Hz), it uses 21 jewels and provides a power reserve of approximately 42 hours. Functions include hours, minutes, central seconds, date, and GMT hand.  This Japan Limited edition is paired with a black alligator strap secured by a pin buckle in matching 18k red gold.
Patek Philippe;Nautilus;Nautilus 7118 Rose Gold / Snow-Set;7118/1450G-001;Patek Philippe caliber 324 S;Hours, Minutes, Seconds;No;Diamond;Sapphire;Open;Cushion;35.20 mm;8.62 mm;60.00 m;Diamonds;Mixed;Alpha;The Patek Philippe Nautilus 7118/1450G-001 debuted in 2021. This Haute Joaillerie ladies� model is crafted in 18k white gold and measures 35.2 mm in diameter with a thickness of 8.62 mm. Sapphire crystals are fitted to both front and back, and water resistance is specified at 30 meters. The case, bezel, and bracelet are entirely pav�-set using the snow-setting technique with 2,364 brilliant-cut diamonds totaling approximately 11.63 carats.  The dial, in 18k gold, is adorned with 283 brilliant-cut diamonds (1.07 ct) arranged in a wave pattern. Blackened white gold alpha-style hands, numerals, and hour markers�filled with luminescent coating�provide legibility against the gem-set background. The integrated bracelet is fully diamond-set and secured with a patented fold-over clasp featuring four independent catches.  Powering this reference is the automatic caliber 26-330 S C. Measuring 27 mm in diameter and 3.3 mm in height, this movement features 30 jewels, a stop-seconds mechanism, and a frequency of 28,800 vph (4 Hz). The power reserve is approximately 35�45 hours. Functions include hours, minutes, central seconds, and date.
Patek Philippe;Nautilus;Nautilus 7118 Rose Gold / Brown;7118/1R-010;Patek Philippe caliber 324 S C;Hours, Minutes, Seconds | Date;No;Rose Gold;Sapphire;Open;Cushion;35.20 mm;8.62 mm;60.00 m;Silver;Mixed;Alpha;The Patek Philippe Nautilus 7118/1R-010 debuted in 2022. This ladies� model is housed in an 18k rose gold case measuring 35.2 mm in diameter and 8.62 mm in thickness. Sapphire crystals are fitted to both front and back, and water resistance is specified at 60 meters. The case integrates with an 18k rose gold bracelet, alternating polished and satin-brushed surfaces, secured by a patented fold-over clasp with adjustment system.  The dial is golden brown opaline with a stamped wave pattern. Applied numerals and hour markers are executed in rose gold with white luminescent coating, paired with alpha-style rose gold hands also filled with luminous material. A date display is positioned at 6 o�clock.  This reference is powered by the automatic caliber 324 S C. Measuring 27 mm in diameter and 3.3 mm in height, this movement has 29 jewels, beats at 28,800 vph (4 Hz), and provides a power reserve of 35�45 hours. Functions include hours, minutes, central seconds, and date.
Patek Philippe;Nautilus;Nautilus 7118 Rose Gold / Silver;7118/1R-001;Patek Philippe caliber 324 S C;Hours, Minutes, Seconds | Date;No;Rose Gold;Sapphire;Open;Cushion;35.20 mm;8.62 mm;60.00 m;Silver;Mixed;Alpha;The Patek Philippe Nautilus 7118/1R-001 debuted in 2022. This ladies� model is housed in an 18k rose gold case measuring 35.2 mm in diameter and 8.62 mm in thickness. Both front and back are fitted with sapphire crystals, and water resistance is rated at 60 meters. The case is paired with an integrated rose gold bracelet, combining satin-brushed and polished surfaces, secured by a fold-over clasp with adjustment system.  The dial is silvery opaline with a stamped wave pattern. Applied numerals and hour markers are in rose gold with white luminescent coating, complemented by rose gold alpha-style hands with luminous fill. A date aperture is positioned at 6 o�clock.  This reference is powered by the automatic caliber 324 S C. The movement measures 27 mm in diameter and 3.3 mm in height, has 29 jewels, and beats at 28,800 vph (4 Hz). It provides a power reserve of approximately 35�45 hours. Functions include hours, minutes, central seconds, and date.
Patek Philippe;Nautilus;Nautilus 7010 Rose Gold / Purple;7010/1R-013;Patek Philippe caliber E23-250 S C;Hours, Minutes, Seconds | Date;No;Rose Gold;Sapphire;Closed;Cushion;32.00 mm;6.90 mm;60.00 m;Purple;Mixed;Stick;The Patek Philippe Nautilus 7010/1R-013 debuted in 2025. This ladies� reference is housed in an 18k rose gold case of 32 mm diameter, with the signature Nautilus porthole construction. The case and integrated bracelet combine polished and satin-brushed finishing, and water resistance is rated at 60 meters. The bezel is set with 46 brilliant-cut diamonds totaling approximately 0.8 carats.  The dial is lacquered purple with a stamped wave pattern. Applied Arabic numerals and ogival hour markers are rendered in rose gold with white luminescent coating. The alpha-style hands are also rose gold with luminescent fill. A framed date aperture is placed at 3 o�clock.  This reference is powered by the quartz caliber E23-250 S C. The movement measures 23.9 mm in diameter and 2.5 mm in height, with 8 jewels. Functions include hours, minutes, central seconds, and date.  The bracelet is crafted in rose gold and secured by a patented fold-over clasp with lockable adjustment system.
Patek Philippe;Nautilus;Nautilus 7118 Stainless Steel - Diamond / Gray;7118/1200A-011;Patek Philippe caliber 324 S C;Hours, Minutes, Seconds | Date;No;Stainless Steel;Sapphire;Open;Cushion;35.20 mm;8.62 mm;60.00 m;Grey;Mixed;Alpha;The Patek Philippe Nautilus 7118/1200A-011 debuted in 2020. This reference features a stainless steel case with a diameter of 35.2 mm and a thickness of 8.62 mm. The bezel is set with 56 brilliant-cut diamonds totaling approximately 0.71 ct. Sapphire crystals are fitted front and back, and water resistance is 60 meters. The integrated stainless steel bracelet is secured with a patented fold-over clasp featuring a lockable adjustment system.  The dial is gray opaline with a black-gradient rim and embossed �wave� motif. Applied Arabic numerals and hour markers in white gold are coated with white luminescent material, as are the alpha-style hands. The date is displayed in an aperture at 6 o�clock within a white gold frame.  The movement inside is the self-winding caliber 324 S C. This movement has a diameter of 27 mm and a height of 3.3 mm, contains 29 jewels, and runs at 28,800 vph (4 Hz). The power reserve is 35�45 hours. Functions include hours, minutes, sweep seconds, and date. The movement is finished to Patek Philippe Seal standards and visible through the sapphire back.
Patek Philippe;Nautilus;Nautilus 7118 Stainless Steel - Diamond / Blue;7118/1200A-001;Patek Philippe caliber 324 S C;Hours, Minutes, Seconds | Date;No;Stainless Steel;Sapphire;Open;Cushion;35.20 mm;8.62 mm;60.00 m;Blue;Mixed;Alpha;The Patek Philippe Nautilus 7118/1200A-001 debuted in 2020. This reference features a stainless steel case of 35.2 mm in diameter and 8.62 mm in thickness. The bezel is set with 56 brilliant-cut diamonds totaling approximately 0.71 ct. The case is fitted with sapphire crystals front and back and is water resistant to 60 meters. The integrated stainless steel bracelet has alternating polished and satin finishes and is secured with a patented fold-over clasp including a lockable adjustment system.  The dial is blue opaline with an embossed �wave� pattern. Applied hour markers and Arabic numerals are in white gold with white luminescent coating, as are the alpha-style hands. A date display is located at 6 o�clock in a white gold frame.  Inside ticks the self-winding caliber 324 S C. This movement measures 27 mm in diameter and 3.3 mm in height, has 29 jewels, and runs at 28,800 vph (4 Hz). It provides a power reserve of 35�45 hours. Functions include hours, minutes, sweep seconds, and date. The movement is finished to Patek Philippe Seal standards and visible through the sapphire back.
Mido;Commander;Commander Gradient Catrines;M021.407.11.411.04;ETA caliber C07.611;Hours, Minutes, Seconds | Date;No;Stainless Steel;Sapphire;Open;Round;40.00 mm;10.80 mm;100.00 m;See-through;Stick / Dot;Stick;The Mido Commander Gradient M021.407.11.411.04 debuted in 2025 as a special edition created for Mexico�s Day of the Dead (D�a de los Muertos). The stainless steel case measures 40 mm in diameter and is fitted with a smoked acrylic gradient dial and a sapphire caseback. Water resistance is 50 meters. This edition is delivered on a stainless steel bracelet with folding clasp and includes two additional straps.  The dial is semi-transparent with a smoked gradient finish, revealing the mechanics of the movement beneath. At its center is a skull motif executed in the traditional Mexican style, decorated with colorful details. Hour markers and hands are coated with Super-LumiNova in seven different shades, creating a multicolored glow in the dark. A date display is positioned at 3 o�clock.  Powering this model is the automatic caliber 80 (ETA C07 base), with a Nivachron balance spring. The movement measures 25.6 mm in diameter and 5.22 mm in height, has 25 jewels, beats at 21,600 vph, and offers a power reserve of 80 hours. Functions include hours, minutes, central seconds, and date.  The Commander Gradient Catrines combines Mido�s technical base with cultural iconography, making it a unique boutique-style special edition within the Commander family.
IWC;Portofino;Portofino Automatic Moonphase Red Gold / Silver;IW4594-03 (aka: IW459403);IWC caliber 35800;Hours, Minutes, Seconds | Moonphase;No;Red Gold;Sapphire;Closed;Round;40.00 mm;9.50 mm;30.00 m;Silver;Stick / Dot;Feuille;The IWC Portofino Automatic Moon Phase IW4594-03 debuted in 2025. This model features a 40 mm case in 18k red gold, fitted with a sapphire crystal and a solid caseback. Water resistance is 30 meters. It is delivered on a black alligator leather strap.  The dial is silver-plated, paired with gold-plated feuille hands and gold-tone applied markers. The moon phase display is positioned at 12 o�clock.  Power comes from the self-winding caliber 35800, which has a diameter of 25.6 mm, thickness of 4.8 mm, and a power reserve of 42 hours. The movement beats at 28,800 vph (4 Hz) and contains 25 jewels. Functions include hours, minutes, central seconds, and moon phase.
Mido;Multifort;Multifort TV Big Date Titanium / Silver / Bracelet;M049.526.44.081.00;ETA caliber C07.651;Hours, Minutes, Seconds | Date, Big Date;No;Titanium;Sapphire;Open;Cushion;39.20 mm;11.50 mm;100.00 m;Silver;Stick / Dot;Stick;The Mido Multifort TV Big Date M049.526.44.081.00 debuted in 2025. This reference features a titanium TV-shaped case, measuring 39.2 x 40 mm with a thickness of 11.5 mm. Both front and back are fitted with sapphire crystals, with anti-reflective treatment applied to the front. Water resistance is rated at 100 meters. The integrated stainless steel bracelet is secured with a folding clasp.  The dial is silver with a horizontally brushed finish, complemented by applied indexes and hands filled with Super-LumiNova. The model is distinguished by its oversized big date display at 12 o�clock, using two separate discs for improved legibility.  This watch is powered by the automatic caliber 80 (ETA C07 base), with a diameter of 25.6 mm and a height of 5.22 mm. It runs at 21,600 vph, has 25 jewels, and provides a power reserve of 80 hours. The movement features a Nivachron balance spring for improved resistance to magnetic fields, shocks, and aging. Functions include hours, minutes, central seconds, and big date.
